University Name,Number Of Reportees,Number Of Acceptances And Rejections Reported,Acceptance Rate,Number Reporting GRE and  GPA,Undergraduate GPA (25 percentile),Undergraduate GPA 50 percentile),Undergraduate GPA (75 percentile),GRE Verbal (25th Percentile),GRE Verbal (50th Percentile),GRE Verbal (75th Percentile),GRE Quant (25th Percentile),GRE Quant (50th Percentile),GRE Quant (75th Percentile)
Stanford University,6666,5860,0.240784983,1002,3.8,3.9,3.985,159,164,168,164,168,170
"University Of California, Berkeley (UCB)",5875,5272,0.274848255,692,3.8,3.9,3.96,160,164,168,163.25,166,169
Columbia University,5605,4480,0.292857143,631,3.72,3.85,3.93,159,164,168,161.75,166,169
"University Of Michigan, Ann Arbor (UMich)",5595,4509,0.353736971,826,3.6825,3.83,3.94,158,162,166,161,165,168
Cornell University,5550,4669,0.332619405,772,3.705,3.87,3.95,157.5,163,167,161,165,169
"University Of California, Los Angeles (UCLA)",5000,4229,0.42870655,666,3.64,3.8,3.92,157,162,167,161,165,168
University Of Chicago (UChicago),4787,3981,0.306455664,627,3.73,3.865,3.96,161,165,168,162,166,170
University Of Pennsylvania (UPenn),4704,3722,0.278076303,523,3.7,3.86,3.95,159,163,167,161,166,169
"University Of Washington, Seattle (UW)",4644,3871,0.372513562,855,3.665,3.81,3.94,158,163,166,160,164,168
Harvard University,4431,3771,0.285070273,406,3.7175,3.85,3.9525,162.75,166,168.25,163,167,170
Yale University,4351,3776,0.246557203,390,3.7225,3.9,3.97,158,164,167,161,165,169
Northwestern University,4305,3554,0.298255487,502,3.64,3.83,3.93,159,162,167,161,166,168
Princeton University,4298,3887,0.251865192,480,3.735,3.88,3.96,160,164,168,163,167,169
"University Of Wisconsin, Madison",4286,3677,0.474843623,647,3.65,3.81,3.915,158,162,166,160,165,168
Massachusetts Institute Of Technology (MIT),4140,3557,0.267641271,457,3.8125,3.92,3.9875,160,164,167,164,168,170
"University Of California, San Diego (UCSD)",3830,3223,0.384114179,600,3.6,3.8,3.92,156,161,166,161,165,169
"University Of Texas, Austin (UT Austin)",3580,2888,0.457063712,415,3.68,3.82,3.92,157,161,165,160,164,168
Boston University (BU),3493,2587,0.43100116,408,3.5425,3.8,3.93,156,161,167,160,165,168
"University Of Illinois, Urbana-Champaign (UIUC)",3464,2993,0.49148012,501,3.67,3.84,3.95,156,160,165,162,165.5,168
New York University (NYU),3464,2580,0.306589147,306,3.61,3.8,3.94,160,163,167,161,164,167
"University Of Maryland, College Park (UMD)",3455,2652,0.479638009,418,3.65,3.8,3.93,155,161,165,161,165,168
Duke University,3352,2679,0.273982829,383,3.6,3.81,3.94,158,162,167,163,166,169
"University Of North Carolina, Chapel Hill (UNC)",3102,2444,0.418576105,450,3.7,3.81,3.93,159,163,166,161,164,168
Brown University,3080,2632,0.234422492,311,3.6,3.75,3.905,157,163,166,161,166,168
Carnegie Mellon University (CMU),2916,2388,0.322864322,439,3.67,3.83,3.94,157,161,166,164,168,170
"University Of Minnesota, Twin Cities (UMN)",2901,2250,0.484888889,391,3.63,3.8,3.93,156,161,165,161,165,168
University Of Southern California (USC),2594,1896,0.463607595,300,3.6,3.79,3.9,155,160,165,161,166,170
"University Of California, Santa Barbara (UCSB)",2389,2047,0.434294089,379,3.7,3.82,3.93,157,162,166,160,165,168
University Of Virginia (UVA),2335,1700,0.427647059,320,3.5825,3.83,3.95,156.75,162,166,159,163,167.25
Johns Hopkins University (JHU),2291,1735,0.365417867,258,3.61,3.78,3.88,157,161,165,161,165,169
"University Of California, Irvine (UCI)",2258,1764,0.551587302,353,3.5,3.7,3.87,155,162,166,159,163,167
Ohio State University (OSU),2190,1776,0.57713964,351,3.61,3.8,3.91,155,160,165,159,164,168
University Of Pittsburgh,2159,1662,0.462093863,311,3.455,3.75,3.9,154,159,164,158,163,166
Purdue University,2143,1708,0.566159251,288,3.6,3.795,3.9,154,158,162.75,159,164,168
"Indiana University, Bloomington",1917,1391,0.544212797,232,3.4775,3.71,3.9,155,161,165,159,163,167.75
CUNY,1823,1268,0.615141956,168,3.5,3.825,3.93,157.75,164.5,167.25,155,159,165
"Washington University, St. Louis (WUSTL)",1815,1346,0.371471025,263,3.6075,3.85,3.9425,160,164,167.25,160,163,167
Rutgers University,1780,1368,0.510233918,190,3.41,3.7,3.81,154,159,165,157,161,166
California Institute Of Technology (Caltech),1732,1466,0.346521146,313,3.79,3.9,3.965,159,164,167.5,165,168,170
"University Of Colorado, Boulder",1714,1397,0.470293486,324,3.6,3.77,3.9,158,162,166,159.75,164,168
"University Of Massachusetts, Amherst (UMass)",1673,1371,0.45805981,211,3.535,3.78,3.925,157,161,165,158,163,166
Emory University,1639,1152,0.309027778,196,3.58,3.755,3.9325,159,161.5,166,157,161,164.25
Georgia Institute Of Technology (GTech),1632,1274,0.531397174,282,3.63,3.8,3.92,154,159,164,163,167,169
Pennsylvania State University (Penn State),1590,1258,0.489666137,198,3.5225,3.7,3.9,151.25,159,163,160,164,168
"University Of California, Davis (UCD)",1551,1242,0.571658615,188,3.5,3.675,3.8525,155.75,160,164,158,162,167
SUNY Stony Brook,1536,1253,0.562649641,222,3.52,3.7,3.85,154,161,165,158,163,168
Vanderbilt University,1521,1188,0.298821549,235,3.6,3.75,3.91,158,162,166,157,161,165
"University Of Florida, Gainesville (UFL)",1504,1142,0.524518389,203,3.5,3.67,3.83,154,158,164,156,161,166
University Of Toronto (UofT),1415,1048,0.504770992,74,3.625,3.81,3.975,159.5,163,167,158,165,167
University Of Arizona,1401,1112,0.494604317,205,3.5,3.765,3.9,153.25,159,163.75,157.25,164,167.75
University Of Rochester,1364,1049,0.417540515,164,3.41,3.75,3.92,155,160,163,161,164,168
Arizona State University (ASU),1290,1068,0.588014981,194,3.45,3.64,3.89,152,159,163,159,163,167.25
Rice University,1284,938,0.459488273,186,3.6,3.79,3.9,156,160,164,161,166,169.5
University Of Notre Dame,1255,934,0.360813704,209,3.54,3.73,3.9,157,161,166,159,162,166
North Caroline State University (NCSU),1185,1034,0.641199226,229,3.565,3.75,3.9,153,159,163,161,164,168
"University Of California, Santa Cruz (UCSC)",1117,987,0.451874367,177,3.57,3.79,3.91,157,162,166,159,164,166
Pennsylvania State University (PennState),1095,822,0.462287105,220,3.56,3.74,3.93,156,161,164,158,163,167
University Of Connecticut,1079,735,0.544217687,141,3.5225,3.745,3.8975,156,161,164,151.75,160,163
Michigan State University (MSU),1055,846,0.592198582,146,3.5,3.765,3.9,157,160.5,164,157,162,167
University Of Oregon,1028,840,0.403571429,163,3.6,3.8,3.9,158,161,166,157,162,165
SUNY Buffalo,983,813,0.660516605,171,3.4,3.7,3.9,152,158,163,153,159,164
University Of Iowa,935,720,0.523611111,92,3.5,3.77,3.91,155,158,165,158,163,166
"University Of Illinois, Chicago (UIC)",925,744,0.560483871,109,3.5025,3.75,3.86,150,155.5,161,156,160.5,164
George Washington University (GWU),918,700,0.454285714,106,3.58,3.77,3.89,157.5,161,166.5,157.5,162,166
"Texas A&M University, College Station (TAMU)",835,708,0.686440678,106,3.4,3.7,3.8275,150,153.5,158.75,163,167,169.75
University Of Utah (UoU),804,642,0.580996885,126,3.6,3.75,3.91,152,158,163,160,163,168
Northeastern University,765,560,0.575,132,3.33,3.6,3.8025,153.75,158,164.25,159.75,163,167
Georgetown University,761,592,0.45777027,80,3.78,3.86,3.93,159,164,168,155,160,163
"University Of California, Riverside (UCR)",760,608,0.689144737,132,3.41,3.69,3.8,150,157,163,157,162,165
Syracuse University,718,514,0.457198444,88,3.57,3.75,3.96,158.25,161.5,166,154,158.5,164
"University Of California, San Francisco (UCSF)",698,501,0.231536926,151,3.7,3.74,3.9,159,165,168,158,163,166
University Of Georgia,682,490,0.655102041,83,3.44,3.625,3.8975,154.25,161,162.75,155.5,160.5,163.75
Florida State University (FSU),676,537,0.737430168,94,3.5075,3.7,3.845,152.25,158,164.75,155.25,159,165
University Of Delaware,629,524,0.549618321,120,3.4925,3.785,3.89,154,159,163,159,163,168
Temple University,584,409,0.762836186,66,3.6275,3.8,3.8975,154,160.5,164,153.25,157.5,161
Rensselaer Polytechnic Institute (RPI),565,515,0.59223301,112,3.415,3.7,3.85,157,160,164,161,164,168
University Of British Columbia (UBC),562,462,0.474025974,49,3.625,3.755,3.92,155,164,167,158.75,162,167
"University Of Nebraska, Lincoln",553,450,0.615555556,67,3.605,3.785,3.8875,154.5,158.5,161.75,153,158.5,163.75
University Of Kansas,540,409,0.618581907,74,3.57,3.745,3.9,152,159,164,152.25,159,162
