Rutgers - Bloustein,Rutgers University
University Of Michigan (Ann Arbor),"University Of Michigan, Ann Arbor (UMich)"
Syracuse University,Syracuse University
Cornell  Institute Of Archaeology And Material Studies,Cornell University
Rhode Island School Of Design(RISD),Rhode Island School Of Design (RISD)
New York University I,New York University (NYU)
Milano School Of International Affairs - The New School,The New School
Indiana University Bloomington(IUB),"Indiana University, Bloomington"
GA Tech,Georgia Institute Of Technology (GTech)
Gorgia Tech,Georgia Institute Of Technology (GTech)
University Of Missouri Columbia,"University Of Missouri, Columbia"
Northwestern U,Northwestern University
NYU,New York University (NYU)
"Columbia University, SIPA",Columbia University
"University Of Texas , Austin","University Of Texas, Austin (UT Austin)"
University Of Massachusetts Boston,"University Of Massachusetts, Amherst (UMass)"
U OF IOWA,University Of Iowa
University Of Central Missouri,University Of Central Missouri
Case Western Reserve University (CWRU),Case Western Reserve University (CWRU)
"Texas A&M University, College Station",Texas A&M University (TAMU)
Pace University,Pace University
Boston College School Of Theology And Ministry,Boston College
Southern California Institute Of Architecture [SCI-Arc],Southern California Institute Of Architecture (SCI-Arc)
University Of Indiana,"Indiana University, Bloomington"
UMass-Amherst,"University Of Massachusetts, Amherst (UMass)"
Texas A&M University (TAMU),"Texas A&M University, College Station (TAMU)"
University Of Texas -Austin,"University Of Texas, Austin (UT Austin)"
NYU - Institute Of Fine Arts,New York University (NYU)
University Of Princeton,Princeton University
University Of South Dakota,University Of South Dakota
Swiss Finance Institute Zurich,Swiss Finance Institute
Baruch-CUNY,Baruch College
Uconn,University Of Connecticut
Georgia Institute Of Technology (GTA),Georgia Institute Of Technology (GTech)
University Of Pitts,University Of Pittsburgh
ISAE SUPAERO Toulouse France,ISAE SUPAERO Toulouse France
Queens University (Ontario),Queens University
Waterloo,University Of Waterloo
UC San Diego (UCSD),"University Of California, San Diego (UCSD)"
American University School Of International Service (SIS),American University
Columbia Teachers Collegee,Columbia University
Oxford University,University Of Oxford
University Of Maryland (UMD),"University Of Maryland, College Park (UMD)"
Indianan University In Bloomington,"Indiana University, Bloomington"
European University Institute,European University Institute
University Of Illinois - Urbana - Champaign,"University Of Illinois, Urbana-Champaign (UIUC)"
University At Buffalo - SUNY,SUNY Buffalo
NYU Courant,New York University (NYU)
Worcester Polytech Institute Of Technology,Worcester Polytechnic Institute (WPI)
"University Of Marylan, College Park","University Of Maryland, College Park (UMD)"
University Of Washingtonhington (Seattle),"University Of Washington, Seattle (UW)"
Northwestern Univ.,Northwestern University
University Of Florida UFL,"University Of Florida, Gainesville (UFL)"
Graduate Institute Of International And Development Studies Geneva,Graduate Institute Of International And Development Studies
UC Santa Cruz,"University Of California, Santa Cruz (UCSC)"
"Swiss Finance Institute, Lausanne",Swiss Finance Institute
University Of Michigan At Ann Arbor,"University Of Michigan, Ann Arbor (UMich)"
CMU LTI PhD/MLT,Carnegie Mellon University (CMU)
School Of The Art Institute At Chicago,School of the Art Institute of Chicago (SAIC)
University Of Waterloo,University Of Waterloo
University Of Texas  Austin,"University Of Texas, Austin (UT Austin)"
The Scripps Research Institute( La Jolla),Scripps Institute
Harvard Graduate School Of Arts And Sciences (GSD),Harvard University
University Of Illinois-Chicago (UIC),"University Of Illinois, Chicago (UIC)"
Sdsu/ucsd,"University Of California, San Diego (UCSD)"
UW Madison,"University Of Wisconsin, Madison"
"TTI, Chicago",Toyota Technological Institute At Chicago (TTIC)
University Of North Carolina At Charlotte,"University Of North Carolina, Charlotte"
Penn Design,University Of Pennsylvania (UPenn)
University Of Florida ( UFL ),"University Of Florida, Gainesville (UFL)"
"Central Arkansas, Wyoming, South Dakota, Northern Iowa, St. Cloud State","Central Arkansas, Wyoming, South Dakota, Northern Iowa, St. Cloud State"
Jackson School (U Of Wash),"University Of Washington, Seattle (UW)"
LSUHSC,Louisiana State University
Universtity Of Michigan Ann Arbor,"University Of Michigan, Ann Arbor (UMich)"
St. Andrews,St. Andrews
University of Cambridge,University Of Cambridge
"ILR, Cornell",Cornell University
Tulane University,Tulane University
Yale Divinity School / Institute Of Sacred Music,Yale University
Carnegie Mellon University(CMU),Carnegie Mellon University (CMU)
Arizona,Arizona State University (ASU)
Georgia Institute Of Technology(GATECH),Georgia Institute Of Technology (GTech)
Graduate Institute Of International Studies - Geneva,Graduate Institute Of International And Development Studies
York University (Toronto),York University
Carnegie Mellon(CMU),Carnegie Mellon University (CMU)
New York Medical College Of Biomedical Sciences,New York School Of Interior Design (NYSID)
University Of California San Francisco (UCSF),"University Of California, San Francisco (UCSF)"
IFA NYU,New York University (NYU)
LSU,Louisiana State University
Texas A&M Univ.,"Texas A&M University, College Station (TAMU)"
Lehigh Universit,Lehigh University
University At Albany,SUNY Albany
University Of Central Florida (UCF),University Of Central Florida (UCF)
"University Of California, San Diego","University Of California, San Diego (UCSD)"
The Hague Academy Of International Law,The Hague Academy Of International Law
University Of North Carolina Greensboro,"University Of North Carolina, Greensboro"
University of Indianapolis,University of Indianapolis
"University Of California, San Diego (UCSD)","University Of California, San Diego (UCSD)"
Univeresity Of Maryland College Park,"University Of Maryland, College Park (UMD)"
The University Of Colorado,"University Of Colorado, Boulder"
School Of Art Institute Chicago,School of the Art Institute of Chicago (SAIC)
Southern Illinois- Edwardsville,Southern Illinois University
Uc Davis,"University Of California, Davis (UCD)"
UMaryland,"University Of Maryland, College Park (UMD)"
NYU-Poly,New York University (NYU)
ICME,Stanford University
"Georgia Institute Of Technology (GaTech, GIT)",Georgia Institute Of Technology (GTech)
Texas Austin,"University Of Texas, Austin (UT Austin)"
Northwestern Polytechnic University,Nothwestern University
Ohio,Ohio State University (OSU)
CMU-INI,Carnegie Mellon University (CMU)
"University Of Califronia, Riverside (UCR)","University Of California, Riverside (UCR)"
Texas University At Austin,"University Of Texas, Austin (UT Austin)"
Cornell Tech,Cornell Tech
London School Of Economics (LSE),London School Of Economics (LSE)
Delft University Of Technology,TU Delft
Rochester University,University Of Rochester
"UCR (University Of California, Rejected)","University Of California, Riverside (UCR)"
Ohio University,"Ohio University, Athens"
University Of Michigan(UMich),"University Of Michigan, Ann Arbor (UMich)"
Georgia Tech,Georgia Institute Of Technology (GTech)
Rutgers State UniversityNew Brunswick,Rutgers University
Tri-Institutional Program In Chemical Biology,Cornell University
University Of Massachusetts Amherst,"University Of Massachusetts, Amherst (UMass)"
"University Of Texas, Austin - LBJ School","University Of Texas, Austin (UT Austin)"
Virginia Institute Of Marine Science (VIMS),Virginia Institute Of Marine Science (VIMS)
Uva,University Of Virginia (UVA)
University Of Missouri- St. Louis (UMSL),University Of Missouri
Technical University Of Munich,TU Munich
"Northwestern University, Medill",Northwestern University
Washington University (St. Louis) WUSTL,"Washington University, St. Louis (WUSTL)"
National University Of Singapore (NUS),National University Of Singapore (NUS)
UC - Irvine,"University Of California, Irvine (UCI)"
University Of Waashington (seattle),"University Of Washington, Seattle (UW)"
University Of Southern California USC,University Of Southern California (USC)
Oregon State University ( OSU ),Oregon State University
Icahn School At Mt. Sinai,Icahn School Of Medicine At Mount Sinai
UC San Diego Scripps Institution Of Oceanography,"University Of California, San Diego (UCSD)"
University Of Central Florida,University Of Central Florida (UCF)
U Of Wisconsin-Madisonn-Madison,"University Of Wisconsin, Madison"
"Rutgers, State Univ Of New Jersey",Rutgers University
Technion - Israel Institute Of Technology,Technion - Israel Institute Of Technology
UC Irvine Merage,"University Of California, Irvine (UCI)"
New York University (NYU) - Gallatin,New York University (NYU)
University Of Pennsylvania (UPENN),University Of Pennsylvania (UPenn)
Southern California Institute Of Architectute (SCI-Arc),Southern California Institute Of Architecture (SCI-Arc)
CUNY( City University Of New York),CUNY
Washington University - St. Louis (WashU),"Washington University, St. Louis (WUSTL)"
School Of The Art Institute Of Chicago,School of the Art Institute of Chicago (SAIC)
U Of Minnesota - Twin Cities,"University Of Minnesota, Twin Cities (UMN)"
"UC, Irvine","University Of California, Irvine (UCI)"
University Texas Austin,"University Of Texas, Austin (UT Austin)"
CUNY- The Graduate Center,CUNY
Maxwell School Of Citizenship,Maxwell School Of Citizenship
University Of Minnesota (UMN),"University Of Minnesota, Twin Cities (UMN)"
NYU-Engineering,New York University (NYU)
University Of North Carollina- Charlotte,"University Of North Carolina, Charlotte"
Art Center College Of Design,Art Center College Of Design
Stan,Stanford University
Carlos III Madrid,Carlos III
Florida Atlantic University FAU,Florida Atlantic University (FAU)
New York University Poly,New York University (NYU)
NYU GALLATIN,New York University (NYU)
University  Of Southern California,University Of Southern California (USC)
StonyBrook University,SUNY Stony Brook
Southern Illinois Carbondale,Southern Illinois University
"University Of Maryland, Baltimore","University Of Maryland, Baltimore County (UMBC)"
University Of Michigan Taubman College,"University Of Michigan, Ann Arbor (UMich)"
UC Irvien,"University Of California, Irvine (UCI)"
"Adelphi, Derner Institute",Adelphi University
University Of Washington - Seattle,"University Of Washington, Seattle (UW)"
University Of Minnesota (Twin Cities),"University Of Minnesota, Twin Cities (UMN)"
Washington University In  St. Louis (WUSTL),"Washington University, St. Louis (WUSTL)"
IMPRS - EPP,IMPRS
University Of Illinois Urbana Champ,"University Of Illinois, Urbana-Champaign (UIUC)"
California Institute Of Technology(CalTech),California Institute Of Technology (Caltech)
Indian Institute Of Technology Patna,"Indian Institute Of Technology, Patna (IIT Patna)"
Texas A&m,Texas A&M University (TAMU)
Johns Hopkins Bloomberg School Of Public Health,Johns Hopkins University (JHU)
Carnegie Mellon University (Heinz),Carnegie Mellon University (CMU)
"University Of Colorado, Boulder","University Of Colorado, Boulder"
Columbia University FFSEAS,Columbia University
Darmouth College,Dartmouth College
"University Of California,Irvine (UCI)","University Of California, Irvine (UCI)"
Clarion University,Clarion University
University Of Illinois - Urbana Champaign,"University Of Illinois, Urbana-Champaign (UIUC)"
Monterey Institute Of International Studies,Monterey Institute Of International Studies
University Of California Davis,"University Of California, Davis (UCD)"
Illinois Institute Of Technology (IIT),Illinois Institute Of Technology
Office Of Science Graduate Fellowship SCGF,Office Of Science Graduate Fellowship SCGF
ORQ,Ohio State University (OSU)
The Petroleum Institute Abu Dhabi,The Petroleum Institute
Caltech,California Institute Of Technology (Caltech)
Texas A&M,Texas A&M University (TAMU)
Scripps Research Institute (TSRI),Scripps Institute
Arizona State University (UIUC),Arizona State University (ASU)
U Wisconsin- Madison,"University Of Wisconsin, Madison"
IMPRS Max Planck Jena,IMPRS
Nyu Gsas,New York University (NYU)
University Of North Carolina - Chapel Hill (UNC),"University Of North Carolina, Chapel Hill (UNC)"
DUKE,Duke University
University Of California Irvine,"University Of California, Irvine (UCI)"
American International College,American International College
Toyota Technological Institute At Chicago (TTI),Toyota Technological Institute At Chicago (TTIC)
Virginia University,University Of Virginia (UVA)
Kansas State University,Kansas State University
Institute Of Education,Institute Of Education
Iversity Of Pittsburgh Graduate School Of Public Health,University Of Pittsburgh
George Washington Graduate School Of Education And Human Development,George Washington University (GWU)
University Of West Alabama,University Of West Alabama
"Wisconsin, Madison","University Of Wisconsin, Madison"
UC Bekeley,"University Of California, Berkeley (UCB)"
UNC-Chapel Hill,"University Of North Carolina, Chapel Hill (UNC)"
University Of Pennsylvania(Upenn),University Of Pennsylvania (UPenn)
UW-madison,"University Of Wisconsin, Madison"
Elliott,George Washington University (GWU)
"UMass, Amherst","University Of Massachusetts, Amherst (UMass)"
The Scripps Research Institute Florida,Scripps Institute
IIT,Illinois Institute Of Technology
Shenzhen University,Shenzhen University
Texas A&M-Bush School Of Government And Public Service,Texas A&M University (TAMU)
Northwestern University,Northwestern University
NYU- Sackler Institute,New York University (NYU)
California Institute Of Technology (Caltech)sity Of Southern California,California Institute Of Technology (Caltech)
University of Nevada - Las Vegas,"University Of Nevada, Las Vegas"
Perimeter Institute For Theoretical Physics (PSI),Perimeter Institute
Indiana U / SPEA,"Indiana University, Bloomington"
London School of Economics,London School Of Economics (LSE)
University Of Pennsylviania,University Of Pennsylvania (UPenn)
The University Of South Carolina,University Of South Carolina
"Penn State, University Park",Pennsylvania State University (Penn State)
Standford,Stanford University
"University Of California Irvine (UCI, UC Irvine)","University Of California, Irvine (UCI)"
Columbia University Teachers College,Columbia University
Purdueue - West Lafayette,Purdue University
DU Korbel School,Denver University
"University Of California, Los Angeles(UCLA)","University Of California, Los Angeles (UCLA)"
University Of Kentucky,University Of Kentucky
San Francisco State University,San Francisco State University (SFSU)
Stanford														1								SUNY Binghamton				1										1								SUNY Binghamton,Stanford University
Sam Houston Institute of Technology,Sam Houston Institute of Technology
University Of Washington:Seattle,"University Of Washington, Seattle (UW)"
NYU-Draper Interdisciplinary Program In Humanities And Social Thought,New York University (NYU)
University Of Alabama Birmingham,"University Of Alabama, Birmingham"
University Of Alberta,University Of Alberta
SUNY- Stony Brook,SUNY Stony Brook
Rhode Island College,Rhode Island College
Miami University Ohio,"Miami University, Ohio"
Uchicago,University Of Chicago (UChicago)
Georgia Tech / Michigan / Minnesota,Georgia Institute Of Technology (GTech)
University Of Illinois,"University Of Illinois, Urbana-Champaign (UIUC)"
NYU Gallatin,New York University (NYU)
The University Of Calgary,University Of Calgary
University Of South Florida (SFU),University Of South Florida (USF)
Northeastern U,Northeastern University
McNeese State University,McNeese State University
University Of North Carolina Charlotte,"University Of North Carolina, Charlotte"
UC-Irvine,"University Of California, Irvine (UCI)"
Penn State Hershey,Pennsylvania State University (PennState)
University Of Wisconsin- Milwaukee,"University Of Wisconsin, Milwaukee"
Kelley - Indiana,"Indiana University, Bloomington"
University Of Minnesota - Twin Cities,"University Of Minnesota, Twin Cities (UMN)"
St. Xavier University,St. Xavier University
"Courant Institute Of Mathematical Sciences, NYU",New York University (NYU)
Universitz Of Minnesota,University Of Minnesota
University Of Delaware(UDel),University Of Delaware
MIT - Massachusetts Institute Of Technology,Massachusetts Institute Of Technology (MIT)
Elmhurst College,Elmhurst College
California Institute Of Thechnology (Caltech),California Institute Of Technology (Caltech)
Columbia Business School,Columbia University
Brown University,Brown University
University Of Memphis,University Of Memphis
New York Univerity,New York University (NYU)
University Of Utah (UoU),University Of Utah (UoU)
Delaware University,University Of Delaware
Carnegie Mellon - Ini,Carnegie Mellon University (CMU)
Georgia Tech University,Georgia Institute Of Technology (GTech)
"Purdue School Of Engineering And Technology, IUPUI",Purdue University
Texas A&M - The Bush School,Texas A&M University (TAMU)
